date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:22	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Dec%202024%2013:19:23%20GMT	https://www.growtopia.pw/robots.txt		(from )
21:19:23	11958/11958	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202024%2013:19:23%20GMT	https://www.growtopia.pw/	C:/My%20Web%20Sites/GROWTOPIA/www.growtopia.pw/index.html	(from )
21:19:24	31000/31000	---M--	200	added ('OK')	text/css	etag:%22269550530cc127b6aa5a35925a7de6ce%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/font-awesome/css/font-awesome.min.css	(from https://www.growtopia.pw/)
21:19:25	109538/109538	---M--	200	added ('OK')	text/css	etag:%22f2a0d7bfe8d3538d6ae00c86afecea14%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/faq-main.css	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/faq-main.css	(from https://www.growtopia.pw/)
21:19:26	11642/11642	---M--	200	added ('OK')	text/css	etag:%2278a08e950d70ee6ebea8fed883406b6b%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/faq-custom.css	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/faq-custom.css	(from https://www.growtopia.pw/)
21:19:27	12175/12175	---M--	200	added ('OK')	image/png	etag:%229f9c7702659ad772e2a9b4dc6cfb5ef2%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/logo_navibar.png	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/logo_navibar.png	(from https://www.growtopia.pw/)
21:19:28	1468/1468	---M--	200	added ('OK')	image/png	etag:%229aeaaa52707185a5d1b63c4f528b445d%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/ubi_icon.png	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/ubi_icon.png	(from https://www.growtopia.pw/)
21:19:29	84345/84345	---M--	200	added ('OK')	application/javascript	etag:%22f9c7afd05729f10f55b689f36bb20172%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/jquery/jquery-2.1.4.min.js	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/jquery/jquery-2.1.4.min.js	(from https://www.growtopia.pw/)
21:19:30	6967/6967	---M--	200	added ('OK')	application/javascript	etag:%2255a5ad3c9dc153988571c9f428f5e872%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/jquery.easing/jquery.easing.1.3.min.js	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/jquery.easing/jquery.easing.1.3.min.js	(from https://www.growtopia.pw/)
21:19:33	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%225869c96cc8f19086aee625d670d741f9%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/bootstrap/javascripts/bootstrap.min.js	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/vendors/bootstrap/javascripts/bootstrap.min.js	(from https://www.growtopia.pw/)
21:19:34	3681/3681	---M--	200	added ('OK')	application/javascript	etag:%22ae2bfb2da1ac58ddea820ee960ebe427%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/js/faq-custom.js	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/js/faq-custom.js	(from https://www.growtopia.pw/)
21:19:35	1478/1478	---M--	200	added ('OK')	image/png	etag:%22bd99af3337a179ca80d5702e98234e91%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/gt-WebShop-Gem-Icon.png	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/gt-WebShop-Gem-Icon.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/faq-custom.css)
21:19:36	3050/3050	---M--	200	added ('OK')	image/png	etag:%22bce9b8059548f44121d2bca1840158c3%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/Grow_Fankit-Icon.png	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/Grow_Fankit-Icon.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/faq-custom.css)
21:19:37	4784/4784	---M--	200	added ('OK')	image/png	etag:%22a58ed1fa78a4be881d59867170e2a1ad%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/Grow_Fankit-Winterfest-Icon.png	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/Grow_Fankit-Winterfest-Icon.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/faq-custom.css)
21:19:39	1432/1432	---M--	200	added ('OK')	image/png	etag:%2275e4cde00d84a746a17450d324b23f41%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/Grow_Fankit-Spring-Icon.png	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/Grow_Fankit-Spring-Icon.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/faq-custom.css)
21:19:40	2592/2592	---M--	200	added ('OK')	image/png	etag:%228e5b14aec6902b86498365029d408b7b%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/Sandtopian.png	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/Sandtopian.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/faq-custom.css)
21:19:41	2856/2856	---M--	200	added ('OK')	image/png	etag:%226da278f858355d6fc16128fd38f82499%22	https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/Grow_Fankit-Autumn-Icon.png	C:/My%20Web%20Sites/GROWTOPIA/s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/images/Grow_Fankit-Autumn-Icon.png	(from https://s3.eu-west-1.amazonaws.com/cdn.growtopiagame.com/website/resources/assets/css/faq-custom.css)
